mcc,familia,descripcion,referencia
0742,Médicos y dentistas,"MEDICOS VETERINARIOS, RECEPTOR DE PAGOS DE ACCESORIOS, ESTETICA Y/O ALIMENTO PARA ANIMALES DOMESTICOS, DE GRANJA, GANADO O ANIMALES EXOTICOS SOLO SI CUENTAN CON SERVICIO VETERINARIO.","Los medicos dedicados a la practica de la veterinaria, de la odontologia, o de la cirugia para todos los tipos de animales; por ejemplo animales domesticos ( perros, gatos, pescado), ganado, y otros animales del campo ( ganados, caballos, oveja, cerdos, cabras, aves de corral, abejas), y animales exoticos."
0763,Ventas al detalle (Retail),COOPERATIVAS AGRICOLAS,"Asociaciones y cooperativas que proporcionan servicios o ayuda o asistencia operativa. Los ejemplos de tales servicios incluyen la ayuda financiera, gerencial, o terminan el mantenimiento de cosechas, preparacion del suelo, el plantar y cultivacion, polvoreda aerea y rociadura, control de la enfermedad y del insecto, control de la mala hierba, y el cosechar de cosechas. Para los comerciantes que proporcionan el almacenamiento y almacenaje del producto de la granja, uso MCC 4225."
0780,Otros,SERVICIOS DE HORTICULTURA Y DE JARDINERIA,"Arquitectos de paisaje y otros abastecedores del planeamiento de paisaje y de los servicios de diseno. Tambien, comerciantes que ofrecen una variedad de servicios del cesped y del jardin tales como plantar, fertilizando, segando, cubriendo con pajote, sembrando, rociando, y el poner del cesped."
1520,Otros,CONTRATISTAS EN GENERAL- RESIDENCIAL Y COMERCIAL,"Los contratistas generales dedicados sobre todo a la construccion de edificios residenciales y comerciales. Los servicios de la construccion pueden incluir la nueva construccion, remodelando, reparacion, las adiciones, y las alteraciones."
1711,Otros,"CONTRATISTAS ( CALEFACCION VENTAS, SERVICIO E INSTALACION), ( AIRE ACONDICIONADO VENTAS E INSTALACION ) ( PLOMERIA )","Contratistas comerciales especiales que trabajan con la calefaccion, la plomeria, y los sistemas de aire acondicionado. Los ejemplos de tales servicios incluyen el sistema de aire que balancea y que prueba, instalacion del alcantarillado, reparacion del horno, instalacion del sistema de regadera del cesped, trabajo de la refrigeracion y del congelador, transmision en circuito de la alcantarilla y conexion, calefaccion solar, instalacion del sistema de regadera, e instalacion y mantenimiento de la bomba de agua. Servicios Contraidos"
1731,Otros,CONTRATISTAS ELECTRICISTAS,"Contratistas comerciales especiales que realizan el trabajo electrico tal como la instalacion de las alarma de incendio, del equipo sano, del equipo de las telecomunicaciones, y de telefonos y del equipo del telefono."
1740,Otros,"CONTRATISTAS (YESO) (CANTERA Y MAMPOSTERIA) (TEJAS, PISOS Y AZULEJOS) (MAMPOSTERIA Y CANTERIA) (AISLAMIENTO)","Contratistas comerciales especiales que realizan el trabajo de la albanileria, el ajuste de la piedra y el otro trabajo de piedra, ajuste del azulejo, llano y enyesado ornamental, e instalacion del aislamiento. Estos comerciantes pueden tambien realizar bricklaying, trabajo de ceramica y de marmol, trabajo del mosaico, trabajo acustico, y construccion del drywall."
1750,Otros,CONTRATISTAS CARPINTERIA,"Los contratistas comerciales especiales que realizan el trabajo de la carpinteria para los proyectos de construccion tales como cabinetwork, enmarcando, ajuste y acabados finales, e instalacion de la ventana y puertas"
1761,Otros,"CONTRATISTAS TECHOS, ESTRUCTURAS Y LAMINAS","Contratistas comerciales especiales que instalan el material para techos, apartadero y hacen el trabajo del metal de hoja, incluyendo trabajo arquitectonico del metal de hoja, techos y la instalacion de la claraboya, el conducto y la instalacion del canal, y azotea , pintando, o cubriendo."
1771,Otros,CONTRATISTAS CONSTRUCTORAS,"Los contratistas comerciales especiales que realizan el trabajo del concreto, del cemento o del asfalto, construyen las calzadas y las caminatas privadas de todos los materiales, vierten el concreto para las fundaciones, realizan la mamposteria del trabajo, y construyen patios y las aceras concretos."
