place_id,nombre,plaza,direccion,telefono,sitio_web,mcc,familia,payment_signal,signal_evidence,intent_score,eligible,disqualifier,outreach_message,rationale,resenas_totales,calificacion,trace_id,schema_version
ChIJXWVKsl4BzoURwtKCG44M45Q,Taquería El Güero,Ciudad de México,"Av. Guadalupe I. Ramírez 25, San Antonio, Xochimilco, 16000 Ciudad de México, CDMX, Mexico",56 3292 6198,,5812,Restaurantes,confirmed_no_card,campo de Google: solo efectivo,98,True,,"Hola, veo que Taquería El Güero se llena todos los días por sus tacos al pastor pero solo manejan efectivo. Con la terminal Konfío cobras rapidísimo con tarjeta a tus comensales y no dejas ir ventas en la noche. ¿Te envío información?",Taquería con más de 800 reseñas y confirmada como negocio de solo efectivo.,865,4.6,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJo6Zhj0L_0YURRFnw4GR8dew,La Esquina Del Chilaquil,Monterrey,"Alfonso Reyes 139, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",55 7544 4723,https://la-esquina-del-chilaquil.shop/,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,98,True,,"Hola, con las largas filas diarias en La Esquina Del Chilaquil y al operar solo con efectivo, una terminal Konfío les permitirá cobrar rapidísimo con tarjeta y contactless sin demorar la fila. ¿Te comparto opciones de terminales hoy?",Comercio icónico de comida con tráfico masivo que no acepta tarjetas según Google.,11233,4.4,trc_01M1DHHXTHDDBWSFK9FJN1PV33,1.0
ChIJiRZXXCoDzoURpnMH4AzIsy8,Distribuidora de carne Tlaltenco,Ciudad de México,"Entre Calle Carlos A. Vidal y Centenario, Morelos, San Francisco Tlaltenco, Tláhuac, 13400 Ciudad de México, CDMX, Mexico",55 2594 4828,,5422,Misceláneos,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, veo que Distribuidora de carne Tlaltenco tiene gran afluencia de clientes y actualmente solo manejan efectivo. Con la terminal Konfío puedes agilizar el cobro con tarjeta, evitar filas y aumentar las compras promedio de carne. ¿Te gustaría probarla?",Distribuidora de carne de alto flujo con confirmación de cobro exclusivo en efectivo.,185,4.7,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJeUVlhCv80YURQXIE2alO3Bo,Tacos Charly,Ciudad de México,"Ote 108 2019, Bramadero Ramos Millán, Iztacalco, 08000 Ciudad de México, CDMX, Mexico",55 5650 9346,https://www.facebook.com/Tacoscharlydesde1990?mibextid=ZbWKwL,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, veo el gran éxito de Tacos Charly con miles de comensales, pero aún operan solo con efectivo. Con la terminal Konfío puedes cobrar rapidísimo con tarjeta, reducir filas y aumentar el ticket promedio de tus clientes. ¿Te gustaría probarla?",Taquería con altísimo volumen de clientes y confirmación de cobro exclusivo en efectivo.,2948,4.3,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJldwQ9b_10YUR7Lb2Ko7Q9uQ,Tacos El Cuñado,Ciudad de México,"Blvd. Tultitlan Ote. 91, San Juan, 54900 Tultitlán de Mariano Escobedo, Méx., Mexico",55 7051 2547,,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, vi que Tacos El Cunado tiene un gran flujo de clientes y solo aceptan efectivo. Al integrar una terminal Konfio podras cobrar rapido con tarjeta, evitar el manejo de efectivo y brindar un servicio mas comodo e higienico.",Taquería de alto flujo con confirmación de solo efectivo según datos estructurados.,3146,4.3,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJp1ma7H60KIQRQENIp9CXEwA,Tacos El Tío,Guadalajara,"Cto. Loma Nte., Loma Dorada Delegación B, 45402 Tonalá, Jal., Mexico",33 2536 6067,,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, vi que Tacos El Tio cuenta con gran popularidad en Tonala y maneja pagos solo en efectivo. Con la terminal Konfio puedes cobrar de inmediato con tarjeta, reducir filas y aumentar el consumo promedio por mesa.",Taquería con altísimo número de reseñas que solo opera en efectivo.,1918,4.4,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJDZpx4-L90YUR6X0ek9Jx1Zg,TACOTITLA,Ciudad de México,"Manzana 11 Lote 23, esq. Tlaxcanes, Puentetitla, Amp Ricardo Flores Magón, Iztapalapa, 09828 Ciudad de México, CDMX, Mexico",55 7693 3383,,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, en Tacotitla tienen un flujo enorme con sus tacos de suadero, pero actualmente solo reciben efectivo. Cobrar con tarjeta acelerará el servicio en horas pico y evitará perder consumos de clientes sin efectivo. ¿Te gustaría probar una terminal rápida para alto volumen?",Taquería con enorme volumen de reseñas que opera únicamente en efectivo.,1498,4.3,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJ8fRRART50YURCJuqSnbg47Q,Consultorio Dental Morell (Dentista 24hrs),Ciudad de México,"Gustavo E. Campa 10, Vallejo, Gustavo A. Madero, 07870 Ciudad de México, CDMX, Mexico",55 5517 4288,https://www.facebook.com/profile.php?id=100083375077528,8011,Médicos y dentistas,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola Dr. Morell, veo la alta demanda en tus urgencias dentales 24 hrs en Vallejo. Al aceptar solo efectivo, muchos pacientes con imprevistos médicos necesitan pagar con tarjeta. Con la terminal Konfío cobras de inmediato y sin trabas. ¿Platicamos?",Consultorio dental 24 horas con alto volumen de reseñas y confirmado de solo efectivo.,300,4.8,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJSymizID-0YURNNF6RAJVCig,"Tacos ""El Güero""",Ciudad de México,"08770, C. 4 MZ13 LT19, Los Picos de Iztacalco II A, Iztacalco, 08760 Ciudad de México, CDMX, Mexico",55 2748 8945,,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, felicidades por las más de 500 opiniones de Tacos El Güero. Noté que solo reciben efectivo; con una terminal Konfío puedes aceptar tarjetas y atender más rápido en horas pico sin hacer filas para dar cambio. ¿Te interesa probarla?",Taquería con alto flujo de clientes y confirmación estructurada de solo cobro en efectivo.,537,4.6,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJs0KnqQL70YURDEfpA1kVERU,Rosticería Rivera,Ciudad de México,"Hda. Torrecillas 187-Loc 1, Impulsora Popular Avicola, 57130 Cdad. Nezahualcóyotl, Méx., Mexico",55 3842 2014,,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, veo que Rosticería Rivera tiene muchísima preferencia con casi 400 opiniones, pero solo aceptan efectivo. Al integrar una terminal Konfío facilitas la compra de paquetes familiares con tarjeta y cobras al instante. ¿Te gustaría platicar sobre una terminal?",Rosticería de alto volumen comercial con registro de solo aceptar efectivo.,389,4.3,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJ5_BTqs8ezoURF_ToyIHfAdM,Cocina Familiar Diana,Ciudad de México,"C. Reforma 62, Ejidal, 56604 Chalco de Díaz Covarrubias, Méx., Mexico",55 5975 0222,,5812,Restaurantes,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, veo que Cocina Familiar Diana tiene casi mil reseñas y gran éxito, pero solo aceptan efectivo. Con la terminal Konfío agilizas el cobro de cuentas grandes de barbacoa y evitas perder comensales.",Restaurante con altísimo volumen de reseñas que confirma operar únicamente con efectivo.,950,4.4,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJ6_A3ZGcDzoURdsFQCdvgeaw,Taquería Los Pequeños Charly's,Ciudad de México,"Antiguo Camino Xochimilco-tulyehualco 3, San Luis Tlaxialtemalco, Xochimilco, 16610 Ciudad de México, CDMX, Mexico",55 3949 0716,,5812,Restaurantes,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, vi el enorme volumen de comensales que visitan Taqueria Los Pequenos Charlys y que solo aceptan efectivo. Con una terminal Konfio tus clientes podran pagar facilmente con tarjeta, acelerando la atencion en mesa y caja.",Taqueria con mas de 700 resenas y alto trafico que opera solo con efectivo.,703,4.4,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJ_Qa1IRTw0YURWJwzXg42UA4,TAQUERIA EL TAPATIO,Ciudad de México,"55100, Vía Adolfo López Mateos 32, Rio de Luz, 55100 Ecatepec de Morelos, Méx., Mexico",56 1581 6156,,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, noté que en Taquería El Tapatío reciben a cientos de clientes y solo aceptan efectivo. Con la terminal Konfío puedes empezar a cobrar con tarjeta rápidamente, agilizando el servicio y aumentando el consumo de tus mesas. ¿Te comparto información para activarla hoy?",Taquería con más de mil reseñas y señal confirmada de solo efectivo.,1373,4.3,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJCZnpzVFRL4QRllCohjKQ0Ks,Pollo REY,Guadalajara,"Cto. Metropolitano Sur, Vicente Fernández Gómez 3-c, 45640 Tlajomulco de Zúñiga, Jal., Mexico",33 3958 8814,,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, veo que en Pollo REY tienen gran afluencia de clientes comiendo pollito asado y carnitas, pero solo reciben efectivo. Con una terminal puedes cobrar con tarjeta rapidamente y no limitar el consumo. ¿Te gustaria conocerla?",Restaurante de comida rápida de alto volumen que solo cobra en efectivo.,285,4.2,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJO-YRbh_AYoYRe483TQEfrC4,Panadería Danessa,Monterrey,"Golondrina, Exposición, 67155 Guadalupe, N.L., Mexico",81 2709 6168,,5462,Ventas al detalle (Retail),confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, felicidades por la gran preferencia en Panadería Danessa con más de 400 opiniones. Vi que solo aceptas efectivo; con una terminal Konfío puedes cobrar con tarjeta al instante, reducir filas y evitar perder ventas de clientes sin efectivo. ¿Revisamos opciones?",Panadería de alto volumen con confirmación de cobro exclusivo en efectivo.,438,4.7,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJHVOLFDLj0YUR2UTXZhl6rn4,"Taqueria ""El Saran""",Ciudad de México,"Cielito Lindo, El Vergelito &, Benito Juárez, 57000 Cdad. Nezahualcóyotl, Méx., Mexico",55 2920 7513,,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, vi que en Taquería El Saran tienen cientos de clientes disfrutando sus tacos pero solo aceptan efectivo. Con la terminal Konfío puedes agilizar el cobro con tarjeta, evitar el manejo de efectivo y aumentar tu ticket promedio.",Taquería de altísimo volumen con confirmación de operar solo en efectivo.,709,4.5,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJJ3QxGPJVL4QRETUoTsSPj44,Fonda Doña Nico,Guadalajara,"San Isidro Mazatepec, 45640 Tlajomulco de Zúñiga, Jalisco, Mexico",33 1428 5185,,5812,Restaurantes,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, veo el gran exito y afluencia en Fonda Dona Nico con mas de mil resenas, pero actualmente solo aceptas efectivo. Con una terminal Konfio puedes cobrar con tarjeta facilmente y elevar el consumo promedio de tus comensales. ¿Te gustaria probarla?",Fonda con altísimo volumen de clientes y reseñas que cobra exclusivamente en efectivo.,1012,4.5,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJGTHq-BsDzoURRQEXIEBtD6E,Panadería San Antonio,Ciudad de México,"Av Guillermo Prieto, Miguel Hidalgo, Tláhuac, 13200 Cd. de México, CDMX, Mexico",55 1312 8233,,5462,Ventas al detalle (Retail),confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, veo que Panadería San Antonio tiene gran tradición y clientes frecuentes, pero solo reciben efectivo. Aceptar cobros con tarjeta les permitirá agilizar la atención en caja y aumentar sus ventas diarias. Con la terminal Konfío es muy fácil. ¿Te comparto más detalles?",Panadería de alto flujo con confirmación estructurada de solo efectivo.,324,4.3,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJey9kCyjj0YURzNVH_1DCEEI,La jefa cocina económica,Ciudad de México,"Mercado 5 de febrero 162, Vicente Villada, 57718 Cdad. Nezahualcóyotl, Méx., Mexico",55 5441 2672,,5812,Restaurantes,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, noté que en La jefa cocina económica tienen un gran flujo diario pero solo manejan efectivo. Con la terminal Konfío puedes cobrar con tarjeta al instante, acelerar el cobro de tus mesas y vender más. ¿Te gustaría probarla?",Cocina económica de alto volumen con casi 400 reseñas y cobro limitado a efectivo.,398,4.1,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
